pubid.Publish	Type	Lab	TRA.FPKM1	TRA.FPKM2	TRA.FPKM3	TRA.FPKM.p1	TRA.FPKM.p2	TRA.FPKM.p3	TRA.top2	TRB.FPKM1	TRB.FPKM2	TRB.FPKM3	TRB.FPKM.p1	TRB.FPKM.p2	TRB.FPKM.p3	TRB.top2	TRA.FPKM.stat	TRB.FPKM.stat	Strand1	TRA.CDR3.1	TRA.CDR3.2	TRA.CDR3.3	TRA.p1	TRA.p2	TRA.p3	Strand2	TRB.CDR3.1	TRB.CDR3.2	TRB.CDR3.3	TRB.p1	TRB.p2	TRB.p3	TRA.CDR3.stat	TRB.CDR3.stat	TRA.con	TRB.con	cons	Vα_ratio	Vβ_ratio	Clonality_based_on_V-seg
PTCL-NOS-13	PTCL-NOS	CityOfHope	846.695	5.98417	3.24793	0.96264317	0.006803655	0.003692708	0.969446824	1687.73	286.028	7.47857	0.829751394	0.140622097	0.003676746	0.970373491	TRUE	TRUE	TRA	4428	200	8	0.905706688	0.040908161	0.001636326	TRB	12125	1909	84	0.825953678	0.130040872	0.005722071	TRUE	TRUE	TRUE	TRUE	TRUE	262.530033	263.921846	TRUE
PTCL-NOS-14	PTCL-NOS	CityOfHope	30.4874	27.9551	15.013	0.132145745	0.121169648	0.065072918	0.253315393	62.4738	38.7448	25.5811	0.220618398	0.136822407	0.09033645	0.357440805	FALSE	FALSE	TRA	32	29	26	0.014228546	0.01289462	0.011560694	TRB	62	47	44	0.027385159	0.020759717	0.019434629	FALSE	FALSE	TRUE	TRUE	TRUE	3.892792913	3.956772774	FALSE
PTCL-NOS-15	PTCL-NOS	CityOfHope	31.2023	26.8233	23.1601	0.217318004	0.186819113	0.161305632	0.404137118	370.334	52.686	48.4824	0.636210949	0.090511295	0.08328977	0.726722245	FALSE	FALSE	TRA	124	92	37	0.2421875	0.1796875	0.072265625	TRB	549	99	87	0.389914773	0.0703125	0.061789773	FALSE	TRUE	TRUE	FALSE	FALSE	2.505412326	8.725228124	FALSE
PTCL-NOS-16	PTCL-NOS	CityOfHope	36.934	6.69753	5.77615	0.338081814	0.06130701	0.052872997	0.399388824	247.968	12.737	10.5219	0.739052843	0.037961818	0.031359853	0.777014661	FALSE	TRUE	TRA	181	122	56	0.25	0.168508287	0.077348066	TRB	1784	53	53	0.719935432	0.021388216	0.021388216	FALSE	TRUE	TRUE	TRUE	TRUE	7.553739082	24.77736911	TRUE
PTCL-NOS-17	PTCL-NOS	CityOfHope	64.9368	52.9528	34.4577	0.106804557	0.087093918	0.056674172	0.193898476	92.2386	58.1558	50.5722	0.10594488	0.066797515	0.058087023	0.172742394	FALSE	FALSE	TRA	60	46	45	0.015416238	0.011819116	0.011562179	TRB	69	45	39	0.013266679	0.008652182	0.007498558	FALSE	FALSE	TRUE	TRUE	TRUE	3.421284648	2.973855201	FALSE
PTCL-NOS-2	PTCL-NOS	Palomero	646.225	73.6329	58.6314	0.412274608	0.04697586	0.037405296	0.459250468	145.566	102.991	92.2313	0.098075308	0.069390338	0.062140975	0.167465646	TRUE	FALSE	TRA	344	18	16	0.133904243	0.007006617	0.006228104	TRB	50	21	19	0.02394636	0.010057471	0.009099617	TRUE	FALSE	TRUE	TRUE	TRUE	12.27768568	2.694931113	TRUE
PTCL-NOS-3	PTCL-NOS	Palomero	630.498	99.0621	77.4316	0.414440188	0.065115695	0.050897492	0.479555883	823.754	232.322	157.667	0.381840814	0.107689943	0.073084556	0.489530757	FALSE	FALSE	TRA	558	28	24	0.16802168	0.008431195	0.007226739	TRB	380	107	75	0.136887608	0.038544669	0.027017291	TRUE	TRUE	FALSE	FALSE	FALSE	9.42199438	6.698142287	FALSE
PTCL-NOS-4	PTCL-NOS	Palomero	606.448	148.636	93.8086	0.388728651	0.095274569	0.060130614	0.48400322	133.876	125.453	114.183	0.072034229	0.067502093	0.06143808	0.139536322	FALSE	FALSE	TRA	110	18	5	0.116156283	0.019007392	0.005279831	TRB	73	22	21	0.064831261	0.019538188	0.018650089	TRUE	FALSE	FALSE	TRUE	FALSE	8.049198048	2.271169964	FALSE
PTCL-NOS-5	PTCL-NOS	Palomero	148.088	80.6979	61.3079	0.175175186	0.095458576	0.072521898	0.270633763	165.124	107.134	68.9191	0.182712613	0.118545657	0.076260198	0.301258271	FALSE	FALSE	TRA	95	45	36	0.045152091	0.021387833	0.017110266	TRB	74	26	22	0.056445461	0.019832189	0.016781083	FALSE	FALSE	TRUE	TRUE	TRUE	3.731752352	3.950399817	FALSE
PTCL-NOS-7	PTCL-NOS	Palomero	135.615	50.8998	26.6963	0.285993379	0.107340676	0.056298824	0.393334055	540.603	53.876	52.7716	0.48110281	0.047946266	0.046963419	0.529049076	FALSE	TRUE	TRA	605	117	17	0.168429844	0.032572383	0.004732739	TRB	395	24	16	0.190545104	0.011577424	0.007718283	TRUE	TRUE	FALSE	TRUE	TRUE	6.986541206	11.26513124	TRUE
PTCL-NOS-9	PTCL-NOS	Palomero	129.399	75.7063	75.4592	0.182171147	0.106581221	0.106233348	0.288752368	3527.44	220.037	103.966	0.822836836	0.051327464	0.024251881	0.8741643	FALSE	TRUE	TRA	1489	126	68	0.705352913	0.059687352	0.032212222	TRB	921	139	131	0.561585366	0.084756098	0.079878049	TRUE	TRUE	FALSE	TRUE	TRUE	2.718095342	36.04521671	TRUE
T-cell-1	normalT	Weinstein	428.394	406.21	327.044	0.081038116	0.07684163	0.061866015	0.157879746	870.083	740.055	646.864	0.102891191	0.087514801	0.07649455	0.190405992	FALSE	FALSE	TRA	5	5	5	0.001425314	0.001425314	0.001425314	TRB	7	7	6	0.001108823	0.001108823	0.00095042	FALSE	FALSE	TRUE	TRUE	TRUE	2.551962427	2.48914455	FALSE
T-cell-10	normalT	Weinstein	546.624	441.18	395.997	0.086089942	0.069483156	0.062367109	0.155573098	1011.27	865.286	754.286	0.096564123	0.082624407	0.072025242	0.17918853	FALSE	FALSE	TRA	23	15	13	0.010727612	0.006996269	0.006063433	TRB	46	46	39	0.00790378	0.00790378	0.006701031	FALSE	FALSE	TRUE	TRUE	TRUE	2.494473443	2.487857391	FALSE
T-cell-2	normalT	Weinstein	319.853	311.755	303.936	0.078334241	0.076350984	0.074436056	0.154685224	674.055	470.905	448.506	0.121040611	0.084560799	0.080538592	0.20560141	FALSE	FALSE	TRA	4	4	4	0.001236094	0.001236094	0.001236094	TRB	4	4	4	0.00083717	0.00083717	0.00083717	FALSE	FALSE	TRUE	TRUE	TRUE	2.078095389	2.552830954	FALSE
T-cell-3	normalT	Weinstein	319.421	272.938	262.861	0.071378517	0.060991324	0.058739496	0.132369841	756.619	583.249	494.97	0.108952613	0.083987453	0.071275338	0.192940066	FALSE	FALSE	TRA	3	3	3	0.00202977	0.00202977	0.00202977	TRB	4	4	4	0.001684211	0.001684211	0.001684211	FALSE	FALSE	TRUE	TRUE	TRUE	2.253506606	2.706968099	FALSE
T-cell-4	normalT	Weinstein	379.305	352.441	347.236	0.077675291	0.072173996	0.071108099	0.149849287	1675.29	690.978	467.528	0.225645345	0.093068047	0.062971495	0.318713392	FALSE	FALSE	TRA	5	4	4	0.003787879	0.003030303	0.003030303	TRB	7	5	5	0.002407981	0.001719986	0.001719986	FALSE	FALSE	TRUE	TRUE	TRUE	2.107344861	5.061232696	FALSE
T-cell-5	normalT	Weinstein	403.977	369.479	305.442	0.08385803	0.076696894	0.063404017	0.160554924	757.051	749.519	568.808	0.088909546	0.088024973	0.066801921	0.176934519	FALSE	FALSE	TRA	7	7	5	0.002198492	0.002198492	0.001570352	TRB	14	7	7	0.002262443	0.001131222	0.001131222	FALSE	FALSE	TRUE	TRUE	TRUE	2.532251622	2.648644182	FALSE
T-cell-6	normalT	Weinstein	355.25	338.24	278.847	0.077088878	0.073397726	0.060509507	0.150486603	927.784	557.329	496.83	0.114049478	0.068510647	0.061073701	0.182560125	FALSE	FALSE	TRA	6	5	5	0.002951303	0.00245942	0.00245942	TRB	13	9	9	0.003335044	0.002308876	0.002308876	FALSE	FALSE	TRUE	TRUE	TRUE	2.486991074	2.989177385	FALSE
T-cell-7	normalT	Weinstein	528.106	418.81	353.312	0.090562391	0.071819739	0.060587798	0.16238213	809.844	788.582	714.194	0.083002946	0.08082375	0.073199537	0.163826697	FALSE	FALSE	TRA	4	3	3	0.002166847	0.001625135	0.001625135	TRB	6	6	5	0.001628664	0.001628664	0.00135722	FALSE	FALSE	TRUE	TRUE	TRUE	2.680112762	2.23808377	FALSE
T-cell-8	normalT	Weinstein	503.325	494.587	456.851	0.080079246	0.078689026	0.07268521	0.158768272	1304.92	941.248	793.765	0.102088474	0.073637136	0.062099023	0.17572561	FALSE	FALSE	TRA	13	12	10	0.002764781	0.002552105	0.002126755	TRB	35	26	23	0.002947865	0.002189842	0.001937168	FALSE	FALSE	TRUE	TRUE	TRUE	2.184327056	2.829764477	FALSE
T-cell-9	normalT	Weinstein	567.532	482.505	476.402	0.085528359	0.072714597	0.071794861	0.158242956	1543.84	1295.46	1121.99	0.111669137	0.093703299	0.081155855	0.205372436	FALSE	FALSE	TRA	14	12	11	0.00296359	0.00254022	0.002328535	TRB	44	31	29	0.003933137	0.002771074	0.002592295	FALSE	FALSE	TRUE	TRUE	TRUE	2.204098639	2.530592964	FALSE
